filename,date,isCompleteData,original_count,predicted_count
DOGE_20180123,2018-01-23,True,852,852
DOGE_20180124,2018-01-24,True,993,993
DOGE_20180125,2018-01-25,True,1069,1069
DOGE_20180126,2018-01-26,True,1033,1033
DOGE_20180127,2018-01-27,True,922,922
DOGE_20180128,2018-01-28,True,898,898
DOGE_20180129,2018-01-29,True,926,926
DOGE_20180130_Latest260,2018-01-30,False,260,703
DOGE_20180131,2018-01-31,True,894,894
DOGE_20180201,2018-02-01,True,1055,1055
DOGE_20180202,2018-02-02,True,929,929
DOGE_20180203,2018-02-03,True,942,942
DOGE_20180204,2018-02-04,True,914,914
DOGE_20180205,2018-02-05,True,892,892
DOGE_20180206,2018-02-06,True,878,878
DOGE_20180207,2018-02-07,True,952,952
DOGE_20180208,2018-02-08,True,777,777
DOGE_20180209,2018-02-09,True,822,822
DOGE_20180210,2018-02-10,True,743,743
DOGE_20180211,2018-02-11,True,816,816
DOGE_20180212,2018-02-12,True,818,818
DOGE_20180213,2018-02-13,True,851,851
DOGE_20180214,2018-02-14,True,1075,1075
DOGE_20180215,2018-02-15,True,919,919
DOGE_20180216,2018-02-16,True,929,929
DOGE_20180217,2018-02-17,True,850,850
DOGE_20180218,2018-02-18,True,1185,1185
DOGE_20180219,2018-02-19,True,987,987
DOGE_20180220,2018-02-20,True,995,995
DOGE_20180221,2018-02-21,True,1016,1016
DOGE_20180222,2018-02-22,True,875,875
DOGE_20180223,2018-02-23,True,749,749
DOGE_20180224,2018-02-24,True,719,719
DOGE_20180225,2018-02-25,True,679,679
DOGE_20180226,2018-02-26,True,649,649
DOGE_20180227,2018-02-27,True,687,687
DOGE_20180228,2018-02-28,True,647,647
DOGE_20180301,2018-03-01,True,716,716
DOGE_20180302_Latest553,2018-03-02,False,553,717
DOGE_20180303,2018-03-03,True,626,626
DOGE_20180304,2018-03-04,True,539,539
DOGE_20180305,2018-03-05,True,601,601
DOGE_20180306,2018-03-06,True,688,688
DOGE_20180307,2018-03-07,True,551,551
DOGE_20180308,2018-03-08,True,587,587
DOGE_20180309,2018-03-09,True,555,555
DOGE_20180310_Latest440,2018-03-10,False,440,520
DOGE_20180311,2018-03-11,True,510,510
DOGE_20180312,2018-03-12,True,597,597
DOGE_20180313,2018-03-13,True,563,563
DOGE_20180314,2018-03-14,True,545,545
DOGE_20180315,2018-03-15,True,570,570
DOGE_20180316,2018-03-16,True,607,607
DOGE_20180317,2018-03-17,True,528,528
DOGE_20180318,2018-03-18,True,549,549
DOGE_20180319,2018-03-19,True,592,592
DOGE_20180320,2018-03-20,True,615,615
DOGE_20180321,2018-03-21,True,596,596
DOGE_20180322,2018-03-22,True,546,546
DOGE_20180323,2018-03-23,True,531,531
DOGE_20180324,2018-03-24,True,529,529
DOGE_20180325,2018-03-25,True,575,575
DOGE_20180326,2018-03-26,True,589,589
DOGE_20180327,2018-03-27,True,552,552
DOGE_20180328,2018-03-28,True,567,567
DOGE_20180329,2018-03-29,True,536,536
DOGE_20180330,2018-03-30,True,558,558
DOGE_20180331,2018-03-31,True,474,474
DOGE_20180401,2018-04-01,True,552,552
DOGE_20180402,2018-04-02,True,556,556
DOGE_20180403,2018-04-03,True,539,539
DOGE_20180404,2018-04-04,True,547,547
DOGE_20180405,2018-04-05,True,683,683
DOGE_20180406,2018-04-06,True,536,536
DOGE_20180407,2018-04-07,True,533,533
DOGE_20180408,2018-04-08,True,621,621
DOGE_20180409,2018-04-09,True,496,496
DOGE_20180410,2018-04-10,True,670,670
DOGE_20180411,2018-04-11,True,686,686
DOGE_20180412,2018-04-12,True,567,567
DOGE_20180413_Latest392,2018-04-13,False,392,532
DOGE_20180414_Latest314,2018-04-14,False,314,426
DOGE_20180415,2018-04-15,True,462,462
DOGE_20180416,2018-04-16,True,531,531
DOGE_20180417,2018-04-17,True,461,461
DOGE_20180418,2018-04-18,True,590,590
DOGE_20180419,2018-04-19,True,612,612
DOGE_20180420,2018-04-20,True,594,594
DOGE_20180421,2018-04-21,True,603,603
DOGE_20180422,2018-04-22,True,556,556
DOGE_20180423,2018-04-23,True,608,608
DOGE_20180424,2018-04-24,True,582,582
DOGE_20180425,2018-04-25,True,538,538
DOGE_20180426,2018-04-26,True,526,526
DOGE_20180427,2018-04-27,True,496,496
DOGE_20180428,2018-04-28,True,470,470
DOGE_20180429,2018-04-29,True,462,462
DOGE_20180430,2018-04-30,True,438,438
DOGE_20180501,2018-05-01,True,535,535
DOGE_20180502,2018-05-02,True,556,556
DOGE_20180503,2018-05-03,True,473,473
DOGE_20180504,2018-05-04,True,457,457
DOGE_20180505,2018-05-05,True,485,485
DOGE_20180506,2018-05-06,True,501,501
DOGE_20180507,2018-05-07,True,490,490
DOGE_20180508,2018-05-08,True,595,595
DOGE_20180509,2018-05-09,True,551,551
DOGE_20180510,2018-05-10,True,478,478
DOGE_20180511,2018-05-11,True,493,493
DOGE_20180512,2018-05-12,True,439,439
DOGE_20180513,2018-05-13,True,401,401
DOGE_20180514,2018-05-14,True,383,383
DOGE_20180515,2018-05-15,True,417,417
DOGE_20180516,2018-05-16,True,370,370
DOGE_20180517,2018-05-17,True,362,362
DOGE_20180518,2018-05-18,True,363,363
DOGE_20180519,2018-05-19,True,399,399
DOGE_20180520,2018-05-20,True,385,385
DOGE_20180521,2018-05-21,True,448,448
DOGE_20180522,2018-05-22,True,433,433
DOGE_20180523,2018-05-23,True,406,406
DOGE_20180524,2018-05-24,True,435,435
DOGE_20180525,2018-05-25,True,419,419
DOGE_20180526,2018-05-26,True,352,352
DOGE_20180527,2018-05-27,True,327,327
DOGE_20180528,2018-05-28,True,360,360
DOGE_20180529,2018-05-29,True,376,376
DOGE_20180530,2018-05-30,True,362,362
DOGE_20180531,2018-05-31,True,400,400
DOGE_20180601,2018-06-01,False,327,327
DOGE_20180701,2018-07-01,True,382,382
DOGE_20180815_Latest160,2018-08-15,False,160,307
DOGE_20180816_Latest141,2018-08-16,False,141,335
DOGE_20180817_Latest62,2018-08-17,False,62,284
DOGE_20180818_Latest66,2018-08-18,False,66,303
DOGE_20180819,2018-08-19,True,381,381
DOGE_20180820,2018-08-20,True,396,396
DOGE_20180821_Latest30,2018-08-21,False,30,239
DOGE_20180822,2018-08-22,True,379,379
DOGE_20180823_Latest296,2018-08-23,False,296,367
DOGE_20180824_Latest396,2018-08-24,False,396,411
DOGE_20180825,2018-08-25,True,366,366
DOGE_20180826,2018-08-26,True,382,382
DOGE_20180827,2018-08-27,True,451,451
DOGE_20180828,2018-08-28,True,409,409
DOGE_20180829,2018-08-29,True,411,411
DOGE_20180830,2018-08-30,True,798,798
DOGE_20180831,2018-08-31,True,1474,1474
DOGE_20180901,2018-09-01,True,1833,1833
DOGE_20180902,2018-09-02,True,1171,1171
DOGE_20180903,2018-09-03,True,938,938
DOGE_20180904,2018-09-04,True,679,679
DOGE_20180905,2018-09-05,True,737,737
DOGE_20180906,2018-09-06,True,731,731
DOGE_20180907,2018-09-07,True,656,656
DOGE_20180908,2018-09-08,True,776,776
DOGE_20180909,2018-09-09,True,736,736
DOGE_20180910,2018-09-10,True,1111,1111
DOGE_20180911,2018-09-11,True,1042,1042
DOGE_20180912,2018-09-12,True,763,763
DOGE_20180913,2018-09-13,True,621,621
DOGE_20180914,2018-09-14,True,735,735
DOGE_20180915,2018-09-15,True,465,465
DOGE_20180916,2018-09-16,True,501,501
DOGE_20180917,2018-09-17,True,929,929
DOGE_20180918,2018-09-18,True,709,709
DOGE_20180919,2018-09-19,True,579,579
DOGE_20180920,2018-09-20,True,420,420
DOGE_20180921,2018-09-21,True,431,431
DOGE_20180922,2018-09-22,True,329,329
DOGE_20180923,2018-09-23,True,371,371
DOGE_20180924,2018-09-24,True,414,414
DOGE_20180925,2018-09-25,True,387,387
DOGE_20180926,2018-09-26,True,446,446
DOGE_20180927,2018-09-27,True,349,349
DOGE_20180928,2018-09-28,True,336,336
DOGE_20180929,2018-09-29,True,295,295
DOGE_20180930,2018-09-30,True,242,242
DOGE_20181001_Latest142,2018-10-01,False,142,338
DOGE_20181002,2018-10-02,True,283,283
DOGE_20181003_Latest206,2018-10-03,False,206,342
DOGE_20181004,2018-10-04,True,392,392
DOGE_20181005_Latest71,2018-10-05,False,71,326
DOGE_20181006,2018-10-06,True,298,298
DOGE_20181007_Latest84,2018-10-07,False,84,227
DOGE_20181008_Latest125,2018-10-08,False,125,297
DOGE_20181009_Latest10,2018-10-09,False,10,255
DOGE_20181010,2018-10-10,True,421,421
DOGE_20181011_Latest253,2018-10-11,False,253,486
DOGE_20181012,2018-10-12,True,411,411
DOGE_20181013,2018-10-13,True,299,299
DOGE_20181014,2018-10-14,True,381,381
DOGE_20181015,2018-10-15,True,497,497
DOGE_20181016,2018-10-16,True,356,356
DOGE_20181017,2018-10-17,True,458,458
DOGE_20181018,2018-10-18,True,360,360
DOGE_20181019,2018-10-19,True,448,448
DOGE_20181020,2018-10-20,True,370,370
DOGE_20181021,2018-10-21,True,334,334
DOGE_20181022,2018-10-22,True,339,339
DOGE_20181023,2018-10-23,True,365,365
DOGE_20181024,2018-10-24,True,434,434
DOGE_20181025,2018-10-25,True,390,390
DOGE_20181026,2018-10-26,True,474,474
DOGE_20181027,2018-10-27,True,497,497
DOGE_20181028,2018-10-28,True,281,281
DOGE_20181029,2018-10-29,True,373,373
DOGE_20181030,2018-10-30,True,387,387
DOGE_20181031,2018-10-31,True,319,319
DOGE_20181101,2018-11-01,True,356,356
DOGE_20181102,2018-11-02,True,322,322
DOGE_20181103,2018-11-03,True,293,293
DOGE_20181104,2018-11-04,True,234,234
DOGE_20181105,2018-11-05,True,299,299
DOGE_20181106,2018-11-06,True,366,366
DOGE_20181107,2018-11-07,True,314,314
DOGE_20181108,2018-11-08,True,324,324
