coin,date,label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14
DOGE,2021-05-03,4,-0.014715563672195509,-0.03740578582371015,0.05462660338953429,0.161246586040085,0.032522387257556795,0.10619401801959577,-0.016402013817208683,-0.05083429978278887,0.05092594409047252,0.18741343448841793,0.0014244259955348768,0.001149281591076128,0.0002751444044587488,0.0002565817195184319,56.14483135800775
DOGE,2021-05-04,4,0.0627241048059497,0.16563537890915897,-0.014715563672195509,-0.03740578582371015,0.05462660338953429,0.161246586040085,0.032522387257556795,0.10619401801959577,-0.016402013817208683,-0.05083429978278887,0.00151473275214641,0.001213143689034181,0.0003015890631122291,0.00026558318823719136,53.550713004938835
DOGE,2021-05-05,4,0.1025031258508457,0.2322164720283933,0.0627241048059497,0.16563537890915897,-0.014715563672195509,-0.03740578582371015,0.05462660338953429,0.161246586040085,0.032522387257556795,0.10619401801959577,0.0016630053671381553,0.0013068741379644456,0.0003561312291737097,0.00028369279642449503,73.24334210691694
DOGE,2021-05-07,4,-0.07420541850676476,-0.11323311723735804,0.11141810107874761,0.2048446640439767,0.1025031258508457,0.2322164720283933,0.0627241048059497,0.16563537890915897,-0.014715563672195509,-0.03740578582371015,0.001986806450102154,0.001521403356419621,0.00046540309368253317,0.00034429299736100986,76.7511393227361
DOGE,2021-05-08,0,0.10071387788022168,0.17330763560660184,-0.07420541850676476,-0.11323311723735804,0.11141810107874761,0.2048446640439767,0.1025031258508457,0.2322164720283933,0.0627241048059497,0.16563537890915897,0.0021591449356181394,0.0016388554489778755,0.0005202894866402638,0.00037949229521686066,81.83901474116273
DOGE,2021-05-09,0,-0.04822649169033166,-0.0707297546657709,0.10071387788022168,0.17330763560660184,-0.07420541850676476,-0.11323311723735804,0.11141810107874761,0.2048446640439767,0.1025031258508457,0.2322164720283933,0.002271160913364865,0.0017313290298663186,0.0005398318834985464,0.0004115602128731978,75.70534980545837
DOGE,2021-05-10,0,-0.060479175154390274,-0.0954509620281656,-0.04822649169033166,-0.0707297546657709,0.10071387788022168,0.17330763560660184,-0.07420541850676476,-0.11323311723735804,0.11141810107874761,0.2048446640439767,0.002323545098425491,0.0017965385918213273,0.0005270065066041638,0.00043464947161939106,71.40565746370328
DOGE,2021-05-11,4,-0.1220070667892586,-0.21287630368603955,-0.060479175154390274,-0.0954509620281656,-0.04822649169033166,-0.0707297546657709,0.10071387788022168,0.17330763560660184,-0.07420541850676476,-0.11323311723735804,0.0022823378509720447,0.0018157355842773836,0.00046660226669466114,0.0004410400306344451,60.52741585282927
DOGE,2021-05-12,0,0.0456019411558119,0.10108406009421209,-0.1220070667892586,-0.21287630368603955,-0.060479175154390274,-0.0954509620281656,-0.04822649169033166,-0.0707297546657709,0.10071387788022168,0.17330763560660184,0.002279439149150589,0.0018489030438962873,0.0004305361052543016,0.00043893924555841644,62.540821820606105
DOGE,2021-05-13,4,-0.08153910972404987,-0.16415149302579404,0.0456019411558119,0.10108406009421209,-0.1220070667892586,-0.21287630368603955,-0.060479175154390274,-0.0954509620281656,-0.04822649169033166,-0.0707297546657709,0.002219823894483287,0.0018520909661123492,0.0003677329283709378,0.0004246979821209207,54.98743129307623
DOGE,2021-05-14,4,0.07374453251325408,0.17761560833649662,-0.08153910972404987,-0.16415149302579404,0.0456019411558119,0.10108406009421209,-0.1220070667892586,-0.21287630368603955,-0.060479175154390274,-0.0954509620281656,0.0022210783825243803,0.0018799344550485006,0.00034114392747587965,0.00040798717119191254,59.272931389906674
