symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOGE/USD,2023-11-23 06:00:00+00:00,0.0759236,0.077404,0.074995,0.07705055,7961.475636353,28.0,0.076470576
DOGE/USD,2023-11-24 06:00:00+00:00,0.07707605,0.07924,0.0769765,0.078584,7648.521278943,14.0,0.0776991747
DOGE/USD,2023-11-25 06:00:00+00:00,0.078605,0.07917465,0.07758975,0.0786062,42864.704009338,7.0,0.0781658592
DOGE/USD,2023-11-26 06:00:00+00:00,0.0786015,0.080981,0.075628,0.0806377,27119.73442184,14.0,0.0772718351
DOGE/USD,2023-11-27 06:00:00+00:00,0.0805651,0.0814602985,0.07673355,0.07688955,13763.853774691,15.0,0.0792656895
DOGE/USD,2023-11-28 06:00:00+00:00,0.07685,0.08132995,0.076735,0.080879,21176.735960402,18.0,0.0803000872
DOGE/USD,2023-11-29 06:00:00+00:00,0.08089655,0.083195,0.079676203,0.0813445,32782.456600423,23.0,0.0809427795
DOGE/USD,2023-11-30 06:00:00+00:00,0.08134955,0.08455405,0.0811545,0.084058,43330.328159251,15.0,0.083067087
DOGE/USD,2023-12-01 06:00:00+00:00,0.08402485,0.085090473,0.0825765,0.084418,17869.502421659,18.0,0.0834688944
DOGE/USD,2023-12-02 06:00:00+00:00,0.084411,0.0874028375,0.0775606125,0.0854392,95489.576433864,21.0,0.0844902656
DOGE/USD,2023-12-03 06:00:00+00:00,0.0854476,0.09085,0.083648,0.0900438,50350.02267185,29.0,0.0881916226
DOGE/USD,2023-12-04 06:00:00+00:00,0.0899606,0.0924384315,0.07913273,0.09008405,43809.259113069,35.0,0.0899964818
DOGE/USD,2023-12-05 06:00:00+00:00,0.0901479,0.09964465,0.08760411,0.0996247,48349.420648373,54.0,0.091652603
DOGE/USD,2023-12-06 06:00:00+00:00,0.09959,0.106325,0.094391,0.09749135,232940.990606116,96.0,0.1020514055
DOGE/USD,2023-12-07 06:00:00+00:00,0.0974809,0.0979937,0.082930134,0.09718,71816.200292732,38.0,0.0950916842
DOGE/USD,2023-12-08 06:00:00+00:00,0.09715815,0.103879,0.09606315,0.102765,74217.61114108,53.0,0.0997285059
DOGE/USD,2023-12-09 06:00:00+00:00,0.1027655,0.1048,0.0900175135,0.10064,12453.824644719,21.0,0.1015762558
DOGE/USD,2023-12-10 06:00:00+00:00,0.10065,0.107228,0.0873583445,0.09885965,49567.150053417,55.0,0.1006867861
DOGE/USD,2023-12-11 06:00:00+00:00,0.09891285,0.0992518785,0.0910253,0.0954561,191008.347097747,62.0,0.095616523
DOGE/USD,2023-12-12 06:00:00+00:00,0.0954689,0.0974712,0.090122,0.0919825,49340.183109364,36.0,0.0936912601
DOGE/USD,2023-12-13 06:00:00+00:00,0.0920425,0.09759395,0.08980225,0.09668,112155.059252031,29.0,0.0933533758
DOGE/USD,2023-12-14 06:00:00+00:00,0.0965836,0.098796,0.0930537535,0.096175,109608.365426352,29.0,0.0968395872
DOGE/USD,2023-12-15 06:00:00+00:00,0.0962571,0.0971,0.091725477,0.0941027095,57853.489178891,26.0,0.0952403157
DOGE/USD,2023-12-16 06:00:00+00:00,0.0941157095,0.0977046875,0.093456,0.094798,13060.30857087,14.0,0.0950068508
DOGE/USD,2023-12-17 06:00:00+00:00,0.0948078,0.09642205,0.090905,0.091635,23352.060505176,24.0,0.092881487
DOGE/USD,2023-12-18 06:00:00+00:00,0.091617,0.0934839,0.0863535,0.09280745,399772.994203812,45.0,0.0893621474
DOGE/USD,2023-12-19 06:00:00+00:00,0.092785,0.093401,0.0893404635,0.0906905,22038.83416865,15.0,0.0920904472
DOGE/USD,2023-12-20 06:00:00+00:00,0.09069735,0.09335465,0.089451,0.091041,27791.390493952,23.0,0.0917239032
DOGE/USD,2023-12-21 06:00:00+00:00,0.09105655,0.097806,0.090740269,0.09376435,39569.804574937,26.0,0.095441692
DOGE/USD,2023-12-22 06:00:00+00:00,0.093756,0.09534825,0.0919955885,0.09333605,17832.638703157,25.0,0.0937502563
DOGE/USD,2023-12-23 06:00:00+00:00,0.0932523,0.09459145,0.092092,0.093095,13520.635126958,12.0,0.093733948
DOGE/USD,2023-12-24 06:00:00+00:00,0.09309335,0.094945,0.08874134,0.09265515,10380.073031492,13.0,0.0923502333
DOGE/USD,2023-12-25 06:00:00+00:00,0.092716,0.0954505,0.0913445,0.0923865,17729.422819433,8.0,0.0938256148
DOGE/USD,2023-12-26 06:00:00+00:00,0.092465,0.093737603,0.0869025,0.090876,71080.899563154,34.0,0.0911757208
DOGE/USD,2023-12-27 06:00:00+00:00,0.09091155,0.0949792,0.09070345,0.09379735,49079.206691014,30.0,0.0929469477
DOGE/USD,2023-12-28 06:00:00+00:00,0.09380345,0.0952909845,0.09025,0.092383,16020.148121985,20.0,0.091276391
DOGE/USD,2023-12-29 06:00:00+00:00,0.09242725,0.094993218,0.08867,0.09051535,71182.85433574,25.0,0.0910448505
DOGE/USD,2023-12-30 06:00:00+00:00,0.09053015,0.0911073,0.0892205,0.0900625,13836.417961845,36.0,0.0904329638
DOGE/USD,2023-12-31 06:00:00+00:00,0.090039,0.0908872,0.0881408055,0.08913825,18005.169930307,11.0,0.089482859
DOGE/USD,2024-01-01 06:00:00+00:00,0.0889881,0.0935455,0.08895485,0.09291665,22680.730084978,17.0,0.0919919618
DOGE/USD,2024-01-02 06:00:00+00:00,0.0928354,0.094293557,0.090591947,0.09159395,143507.487491132,26.0,0.0919096944
DOGE/USD,2024-01-03 06:00:00+00:00,0.091606,0.09215915,0.0733477695,0.082376,152936.840059543,72.0,0.0831845934
DOGE/USD,2024-01-04 06:00:00+00:00,0.0823595,0.088553731,0.080444511,0.0832625,82282.513444934,36.0,0.0833611894
DOGE/USD,2024-01-05 06:00:00+00:00,0.0831825,0.088057453,0.0794408,0.0801737,22940.571789906,20.0,0.0819080469
DOGE/USD,2024-01-06 06:00:00+00:00,0.0801745,0.081945,0.0785273415,0.08094715,10399.566137526,12.0,0.0807892249
DOGE/USD,2024-01-07 06:00:00+00:00,0.08100075,0.081461749,0.0742415025,0.0773415,41712.432467933,28.0,0.0767042439
DOGE/USD,2024-01-08 06:00:00+00:00,0.0773734,0.081831,0.0769111,0.08069725,49048.370930786,30.0,0.0799948215
DOGE/USD,2024-01-09 06:00:00+00:00,0.080709,0.083975,0.0754020025,0.07914085,189947.460506103,63.0,0.0798320224
DOGE/USD,2024-01-10 06:00:00+00:00,0.079153,0.085029,0.075198562,0.08322765,139944.589396832,47.0,0.0795157726
DOGE/USD,2024-01-11 06:00:00+00:00,0.08322105,0.08801475,0.080914449,0.08472765,57808.869720885,55.0,0.0850882873
DOGE/USD,2024-01-12 06:00:00+00:00,0.08467715,0.0854471,0.075241001,0.0807615,136957.996278439,37.0,0.0828065842
DOGE/USD,2024-01-13 06:00:00+00:00,0.0807585,0.081359,0.0796305,0.08078985,9611.924036434,5.0,0.0809225711
