date,tweet_count
2015-11-29,420
2015-12-01,436
2015-12-02,52
2015-12-04,37
2015-12-05,377
2015-12-06,366
2015-12-07,1133
2015-12-08,939
2015-12-09,1528
2015-12-10,1373
2015-12-11,772
2015-12-12,638
2015-12-13,734
2015-12-15,1435
2015-12-16,1529
2015-12-17,1069
2015-12-18,1621
2015-12-19,813
2015-12-20,748
2015-12-21,1652
2015-12-22,1478
2015-12-23,1002
2015-12-25,693
2015-12-26,640
2015-12-27,673
2015-12-28,1447
2015-12-30,1399
2015-12-31,1268
2016-01-01,661
2016-01-02,644
2016-01-03,687
2016-01-04,975
2016-01-05,1403
2016-01-06,1337
2016-01-07,830
2016-01-08,417
2016-01-09,315
2016-01-10,266
2016-01-11,375
2016-01-12,488
2016-01-13,430
2016-01-14,330
2016-01-15,1202
2016-01-16,503
2016-01-17,346
2016-01-18,1176
2016-01-19,633
2016-01-20,1286
2016-01-21,1386
2016-01-22,981
2016-01-23,524
2016-01-24,490
2016-01-25,824
2016-01-26,1449
2016-01-27,1413
2016-01-28,877
2016-01-29,1371
2016-01-30,539
2016-02-02,1457
2016-02-05,984
2016-02-06,444
2016-02-07,461
2016-02-08,693
2016-02-09,629
2016-02-10,1103
2016-02-11,828
2016-02-12,365
2016-02-15,474
2016-02-16,1189
2016-02-17,762
2016-02-18,462
2016-02-20,378
2016-02-23,959
2016-02-26,1068
2016-02-27,344
2016-02-28,376
2016-03-01,455
2016-03-02,948
2016-03-03,974
2016-03-04,873
2016-03-05,372
2016-03-06,330
2016-03-07,1001
2016-03-08,934
2016-03-09,784
2016-03-10,1047
2016-03-12,357
2016-03-13,382
2016-03-14,647
2016-03-15,614
2016-03-16,606
2016-03-17,633
2016-03-18,598
2016-03-19,261
2016-03-20,260
2016-03-21,607
2016-03-22,626
2016-03-23,591
2016-03-24,586
2016-03-25,567
2016-03-26,233
2016-03-27,260
2016-03-29,1052
2016-03-31,875
2016-04-01,826
2016-04-02,301
2016-04-04,768
2016-04-06,968
2016-04-07,853
2016-04-08,968
2016-04-09,292
2016-04-10,380
2016-04-11,958
2016-04-12,985
2016-04-13,885
2016-04-14,1032
2016-04-15,604
2016-04-16,149
2016-04-18,174
2016-04-19,199
2016-04-20,196
2016-04-21,190
2016-04-22,199
2016-04-23,189
2016-04-24,188
2016-04-25,160
2016-04-26,190
2016-04-27,185
2016-04-29,198
2016-04-30,160
2016-05-03,167
2016-05-05,190
2016-05-07,209
2016-05-09,181
2016-05-11,181
2016-05-12,201
2016-05-13,207
2016-05-14,207
2016-05-15,189
2016-05-16,199
2016-05-17,198
2016-05-18,184
2016-05-19,185
2016-05-22,183
2016-05-23,152
2016-05-24,154
2016-05-25,164
2016-05-26,169
2016-05-27,225
2016-05-28,182
2016-05-29,161
2016-05-30,187
2016-05-31,164
2016-06-01,178
2016-06-02,168
2016-06-04,160
2016-06-05,177
2016-06-06,173
2016-06-07,170
2016-06-08,165
2016-06-09,185
2016-06-10,191
2016-06-11,167
2016-06-13,174
2016-06-14,173
2016-06-15,171
2016-06-17,171
2016-06-19,196
2016-06-20,162
2016-06-21,181
2016-06-22,168
2016-06-23,163
2016-06-24,190
2016-06-26,147
2016-06-27,144
2016-06-28,181
2016-06-29,165
2016-07-01,189
2016-07-02,168
2016-07-03,167
2016-07-04,168
2016-07-05,154
2016-07-06,161
2016-07-07,168
2016-07-09,189
2016-07-10,194
2016-07-11,176
2016-07-12,188
2016-07-13,165
2016-07-14,167
2016-07-15,181
2016-07-16,164
2016-07-18,180
2016-07-19,152
2016-07-20,189
2016-07-22,177
2016-07-23,165
2016-07-24,184
2016-07-25,163
2016-07-26,162
2016-07-27,178
2016-07-28,167
2016-07-30,169
2016-07-31,184
2016-08-01,159
2016-08-04,163
2016-08-05,174
2016-08-06,165
2016-08-07,200
2016-08-08,164
2016-08-10,165
2016-08-11,185
2016-08-12,163
2016-08-13,157
2016-08-15,159
2016-08-16,183
2016-08-17,184
2016-08-18,175
2016-08-19,164
2016-08-20,134
2016-08-21,113
2016-08-22,127
2016-08-23,162
2016-08-24,180
2016-08-25,228
2016-08-26,212
2016-08-27,221
2016-08-28,219
2016-08-29,210
2016-08-30,176
2016-08-31,171
2017-11-01,244
2017-11-02,215
2017-11-03,294
2017-11-04,243
2017-11-05,204
2017-11-06,221
2017-11-07,211
2017-11-08,220
2017-11-10,261
2017-11-12,254
2017-11-13,236
2017-11-14,230
2017-11-15,240
2017-11-18,261
2017-11-19,257
2017-11-20,336
2017-11-22,603
2017-11-23,791
2017-11-24,398
2017-11-25,294
2017-11-26,288
2017-11-27,362
2017-11-28,421
2017-11-30,418
2017-12-01,653
2017-12-03,577
2017-12-05,734
2017-12-07,703
2017-12-08,830
2017-12-09,639
2017-12-10,901
2017-12-11,778
2017-12-12,752
2017-12-13,754
2017-12-14,625
2017-12-15,660
2017-12-16,918
2017-12-17,862
2017-12-22,810
2017-12-23,484
2017-12-24,983
2017-12-26,982
2017-12-28,828
2017-12-29,730
2017-12-30,539
2017-12-31,860
2018-01-03,387
2018-01-04,191
2018-01-05,538
2018-01-06,48
2018-01-08,604
2018-01-09,749
2018-01-10,1057
2018-01-12,1067
2018-01-13,845
2018-01-14,158
2018-01-15,17
2018-01-16,456
2018-01-17,801
2018-01-18,847
2018-01-19,767
2018-01-20,697
2018-01-21,721
2018-01-23,838
2018-01-24,973
2018-01-25,1037
2018-01-26,1010
2018-01-27,897
2018-01-28,878
2018-01-29,902
2018-01-30,253
2018-02-01,1037
2018-02-03,932
2018-02-05,870
2018-02-06,860
2018-02-07,937
2018-02-08,761
2018-02-09,804
2018-02-10,728
2018-02-11,803
2018-02-12,801
2018-02-13,832
2018-02-14,1047
2018-02-17,822
2018-02-18,1163
2018-02-19,966
2018-02-20,974
2018-02-21,987
2018-02-22,856
2018-02-23,727
2018-02-24,703
2018-02-25,653
2018-02-27,672
2018-02-28,626
2018-03-01,635
2018-03-02,520
2018-03-03,606
2018-03-04,528
2018-03-05,583
2018-03-06,673
2018-03-07,539
2018-03-08,577
2018-03-09,543
2018-03-10,433
2018-03-11,502
2018-03-12,581
2018-03-13,551
2018-03-14,535
2018-03-16,594
2018-03-17,512
2018-03-19,576
2018-03-20,607
2018-03-21,584
2018-03-22,539
2018-03-23,522
2018-03-24,519
2018-03-25,561
2018-03-26,573
2018-03-27,538
2018-03-28,560
2018-03-29,524
2018-03-30,546
2018-03-31,458
2018-04-01,531
2018-04-02,546
2018-04-03,523
2018-04-04,534
2018-04-05,665
2018-04-06,518
2018-04-07,525
2018-04-08,609
2018-04-10,650
2018-04-11,671
2018-04-12,553
2018-04-13,379
2018-04-14,307
2018-04-15,452
2018-04-17,442
2018-04-18,563
2018-04-20,580
2018-04-23,596
2018-04-25,523
2018-04-26,511
2018-04-28,460
2018-04-29,451
2018-04-30,429
2018-05-01,520
2018-05-02,550
2018-05-04,442
2018-05-05,468
2018-05-06,491
2018-05-08,584
2018-05-09,533
2018-05-10,466
2018-05-11,481
2018-05-13,388
2018-05-14,370
2018-05-15,393
2018-05-16,354
2018-05-17,351
2018-05-18,354
2018-05-20,373
2018-05-21,440
2018-05-22,423
2018-05-24,429
2018-05-26,340
2018-05-27,317
2018-05-29,355
2018-05-30,344
2018-05-31,389
2018-06-02,313
2018-06-03,335
2018-06-04,388
2018-06-05,453
2018-06-06,393
2018-06-07,384
2018-06-08,340
2018-06-09,312
2018-06-10,316
2018-06-11,355
2018-06-12,138
2018-06-13,399
2018-06-17,379
2018-06-18,385
2018-06-19,465
2018-06-20,363
2018-06-21,348
2018-06-22,366
2018-06-23,334
2018-06-24,317
2018-06-25,328
2018-06-26,370
2018-06-27,423
2018-06-28,362
2018-06-29,391
2018-06-30,327
2018-07-01,373
2018-07-03,433
2018-07-05,363
2018-07-06,399
2018-07-07,386
2018-07-08,399
2018-07-09,332
2018-07-10,373
2018-07-11,351
2018-07-12,331
2018-07-13,336
2018-07-14,328
2018-07-15,318
2018-07-16,633
2018-07-17,892
2018-07-18,770
2018-07-19,619
2018-07-22,440
2018-07-23,408
2018-07-24,36
2018-07-25,436
2018-07-26,372
2018-07-28,357
2018-07-29,344
2018-07-30,390
2018-07-31,397
2018-08-01,383
2018-08-02,368
2018-08-03,369
2018-08-04,314
2018-08-05,323
2018-08-07,361
2018-08-08,365
2018-08-09,352
2018-08-10,379
2018-08-11,371
2018-08-12,321
2018-08-15,155
2018-08-17,59
2018-08-18,65
2018-08-20,387
2018-08-21,29
2018-08-22,372
2018-08-23,290
2018-08-24,388
2018-08-26,372
2018-08-27,439
2018-08-28,396
2018-08-29,407
2018-08-30,767
2018-08-31,1408
2018-09-01,1750
2018-09-02,1138
2018-09-03,917
2018-09-04,665
2018-09-06,710
2018-09-08,751
2018-09-09,709
2018-09-10,1067
2018-09-11,997
2018-09-12,739
2018-09-13,596
2018-09-14,709
2018-09-15,449
2018-09-16,487
2018-09-17,909
2018-09-19,558
2018-09-20,411
2018-09-21,417
2018-09-22,318
2018-09-23,360
2018-09-24,394
2018-09-26,429
2018-09-27,342
2018-09-28,325
2018-09-29,274
2018-09-30,239
2018-10-01,133
2018-10-04,368
2018-10-05,66
2018-10-06,286
2018-10-07,81
2018-10-08,121
2018-10-09,10
2018-10-11,242
2018-10-12,393
2018-10-13,280
2018-10-14,349
2018-10-15,482
2018-10-16,345
2018-10-17,434
2018-10-18,354
2018-10-19,436
2018-10-20,356
2018-10-21,323
2018-10-22,329
2018-10-23,352
2018-10-24,422
2018-10-25,376
2018-10-27,487
2018-10-28,272
2018-11-01,347
2018-11-02,306
2018-11-03,281
2018-11-06,355
2018-11-07,294
2018-11-08,311
2018-11-09,304
2018-11-10,320
2018-11-11,220
2018-11-12,234
2018-11-13,206
2018-11-14,280
2018-11-17,208
2018-11-18,204
2018-11-20,223
2018-11-21,214
2018-11-22,242
2018-11-23,234
2018-11-26,202
2018-11-27,272
2018-11-28,236
2018-11-29,216
2018-11-30,240
2018-12-01,226
2018-12-02,283
2018-12-03,290
2018-12-04,343
2018-12-05,82
2018-12-07,325
2018-12-08,197
2018-12-09,185
2018-12-10,221
2018-12-11,258
2018-12-12,299
2018-12-13,293
2018-12-15,249
2018-12-18,460
2018-12-19,406
2018-12-20,349
2018-12-21,300
2018-12-22,218
2018-12-23,215
2018-12-24,214
2018-12-25,249
2018-12-26,247
2018-12-27,277
2018-12-29,203
2018-12-31,213
2019-03-01,206
2019-03-02,184
2019-03-05,212
2019-03-06,260
2019-03-07,230
2019-03-08,103
2019-03-09,180
2019-03-10,158
2019-03-12,255
2019-03-13,255
2019-03-14,313
2019-03-15,354
2019-03-16,199
2019-03-17,128
2019-03-18,262
2019-03-19,44
2019-03-20,429
2019-03-22,263
2019-03-23,241
2019-03-24,198
2019-03-25,243
2019-03-26,228
2019-03-27,326
2019-03-29,297
2019-03-30,226
2019-03-31,221
2019-04-01,710
2019-04-02,1254
2019-04-04,989
2019-04-05,562
2019-04-06,320
2019-04-07,361
2019-04-09,407
2019-04-10,369
2019-04-12,313
2019-04-13,263
2019-04-15,284
2019-04-16,313
2019-04-17,337
2019-04-18,381
2019-04-20,282
2019-04-22,315
2019-04-23,317
2019-04-24,306
2019-04-25,288
2019-04-26,250
2019-04-27,245
2019-04-28,242
2019-04-30,410
2020-01-01,125
2020-01-02,32
2020-01-03,175
2020-01-05,236
2020-01-06,253
2020-01-07,184
2020-01-08,220
2020-01-09,220
2020-01-11,133
2020-01-12,153
2020-01-13,171
2020-01-14,186
2020-01-15,167
2020-01-16,142
2020-01-18,241
2020-01-19,191
2020-01-20,178
2020-01-21,150
2020-01-22,146
2020-01-23,162
2020-01-24,159
2020-01-25,202
2020-01-27,148
2020-01-29,203
2020-01-30,152
2020-01-31,170
2020-02-01,176
2020-02-02,176
2020-02-03,178
2020-02-04,224
2020-02-05,117
2020-02-07,6
2020-02-08,556
2020-02-09,425
2020-02-10,329
2020-02-11,218
2020-02-12,273
