Date,EMA_12,EMA_26,MACD,Signal,RSI
2019-12-31,9.481224959566955e-06,9.755585196469015e-06,-2.7436023690206006e-07,-3.066708593547231e-07,41.30488945991857
2020-01-01,9.44643773723139e-06,9.718512812610997e-06,-2.7207507537960693e-07,-2.997517025596999e-07,48.91924485226174
2020-01-02,9.413211530578282e-06,9.68236130012027e-06,-2.6914976954198854e-07,-2.9363131595615765e-07,30.913407803936337
2020-01-03,9.37299692367908e-06,9.643061691647175e-06,-2.7006476796809424e-07,-2.8891800635854496e-07,26.264554957499172
2020-01-04,9.367348764858658e-06,9.62033741014341e-06,-2.529886452847523e-07,-2.8173213414378647e-07,44.19978935741104
2020-01-05,9.46103905859348e-06,9.646707651920564e-06,-1.8566859332708397e-07,-2.6251942598044596e-07,64.27889924027471
2020-01-06,9.456940378002412e-06,9.630980983982119e-06,-1.7404060597970643e-07,-2.4482366198029805e-07,44.74942537401818
2020-01-07,9.495258739230058e-06,9.63653866857471e-06,-1.4127992934465195e-07,-2.2411491545316885e-07,56.29579717170107
2020-01-08,9.60112959726886e-06,9.677048346197492e-06,-7.59187489286321e-08,-1.944756821482615e-07,64.06112278590419
2020-01-09,9.64517479524665e-06,9.692631682340232e-06,-4.74568870935827e-08,-1.6507192313732574e-07,56.91766426377299
2020-01-10,9.766621936290631e-06,9.747590906761883e-06,1.9031029528748412e-08,-1.2825133260411093e-07,66.024820688886
2020-01-11,9.848716970809673e-06,9.788527851495403e-06,6.018911931427029e-08,-9.056324222043468e-08,63.66349442572239
2020-01-12,9.88873044806022e-06,9.812252053083761e-06,7.647839497645895e-08,-5.7154914781055966e-08,59.77298321244172
2020-01-13,9.955477751512337e-06,9.850054709929335e-06,1.0542304158300253e-07,-2.4639323508244266e-08,61.81136999609971
2020-01-14,9.931314070968211e-06,9.846229459414236e-06,8.508461155397439e-08,-2.6945364958005345e-09,55.61933466808143
2020-01-15,1.003910749974622e-05,9.904432563015054e-06,1.3467493673116592e-07,2.477935814959276e-08,63.88186613133126
2020-01-16,1.0176363611097993e-05,9.980494760090439e-06,1.9586885100755456e-07,5.8997256721185124e-08,66.24804329898669
2020-01-17,1.0248124018108235e-05,1.0029554870947781e-05,2.1856914716045335e-07,9.091163480903878e-08,63.69465742832106
2020-01-18,1.0372683650334016e-05,1.0105718334401709e-05,2.6696531593230694e-07,1.2612237103369242e-07,65.16939907046029
2020-01-19,1.052802231170599e-05,1.0200286231798016e-05,3.2773607990797396e-07,1.6644511280854874e-07,63.11918930348433
2020-01-20,1.0596534485755105e-05,1.0257550321518551e-05,3.3898416423655364e-07,2.0095292309414972e-07,64.72444637675488
2020-01-21,1.0642529670630475e-05,1.0304806089364956e-05,3.3772358126551947e-07,2.2830705472842368e-07,61.819097971101584
2020-01-22,1.0668852046680234e-05,1.0342496387556729e-05,3.263556591235052e-07,2.4791677560744e-07,56.796062799046126
2020-01-23,1.0687095405318875e-05,1.0375454720169667e-05,3.1164068514920803e-07,2.606615575157936e-07,60.30527636366186
2020-01-24,1.0613364082711762e-05,1.0363038948925444e-05,2.50325133786318e-07,2.585942727698985e-07,47.42293575754581
2020-01-25,1.057372250003555e-05,1.036249486347292e-05,2.1122763656263027e-07,2.491209455284449e-07,50.628348305923524
2020-01-26,1.0520916399391346e-05,1.035271619550072e-05,1.68200203890625e-07,2.3293679720088093e-07,51.39973782017555
2020-01-27,1.0519235529080753e-05,1.0364366161935666e-05,1.5486936714508694e-07,2.1732331118972213e-07,52.12369338407202
2020-01-28,1.0559425121147129e-05,1.039518851123763e-05,1.6423660990949843e-07,2.067059709336774e-07,61.807808437557945
2020-01-29,1.0649109941318308e-05,1.045053576612816e-05,1.98574175190148e-07,2.0507961178497153e-07,56.92197617945632
2020-01-30,1.0686247495883468e-05,1.0483126009081026e-05,2.0312148680244262e-07,2.0468798678846577e-07,49.439907815622824
2020-01-31,1.0747020581126461e-05,1.0527433160257464e-05,2.1958742086899745e-07,2.0766787360457211e-07,56.19002040853549
2020-02-01,1.0766868763378778e-05,1.055325542733221e-05,2.1361333604656907e-07,2.088569660929715e-07,47.2729934789756
2020-02-02,1.0796610712363264e-05,1.0583398835068928e-05,2.1321187729433603e-07,2.0972794833324442e-07,43.17178621111958
2020-02-03,1.0866328276169527e-05,1.063276002336782e-05,2.3356825280170758e-07,2.1449600922693706e-07,54.65032543860089
2020-02-04,1.0905080461410942e-05,1.0668719834987887e-05,2.3636062642305577e-07,2.188689326661608e-07,53.68025940326723
2020-02-05,1.0963851698302984e-05,1.071452529174502e-05,2.493264065579632e-07,2.2496042744452131e-07,57.60519930245439
2020-02-06,1.108588389845655e-05,1.0791750158971402e-05,2.9413373948514824e-07,2.3879508985264673e-07,63.6314908804847
2020-02-07,1.1246106511309972e-05,1.0890682064381209e-05,3.5542444692876313e-07,2.6212096126787005e-07,78.67264375396752
2020-02-08,1.1460181589768259e-05,1.1020082987115108e-05,4.400986026531514e-07,2.9771648954492633e-07,80.75619934526367
2020-02-09,1.1907204477907337e-05,1.1267916126045267e-05,6.392883518620701e-07,3.660308620083551e-07,88.91956474899997
2020-02-10,1.2333054699472733e-05,1.1520309814344313e-05,8.127448851284203e-07,4.5537366663236816e-07,88.98156173089528
2020-02-11,1.254986004451151e-05,1.1684900897891013e-05,8.649591466204974e-07,5.372907626299941e-07,74.66112407769523
2020-02-12,1.2759190109717832e-05,1.1849760495702983e-05,9.094296140148487e-07,6.117185329069651e-07,73.8165781149193
2020-02-13,1.2935108828281169e-05,1.2001827257530874e-05,9.332815707502949e-07,6.760311404756311e-07,77.05213194941496
2020-02-14,1.3071218209378342e-05,1.2136493372188793e-05,9.347248371895489e-07,7.277698798184147e-07,75.08105577318486
2020-02-15,1.3234915910010476e-05,1.2284549660433122e-05,9.503662495773539e-07,7.722891537702027e-07,79.25906875630253
2020-02-16,1.3274187912938321e-05,1.237385590255226e-05,9.003320103860619e-07,7.978977250933746e-07,70.63447026554041
2020-02-17,1.3222605785243493e-05,1.2415711323320384e-05,8.068944619231083e-07,7.996970724593214e-07,63.21243151144742
2020-02-18,1.3096403518296974e-05,1.2414717229007105e-05,6.816862892898685e-07,7.760949158254308e-07,59.44553415148976
2020-02-19,1.307598536367523e-05,1.2455381546358849e-05,6.206038173163806e-07,7.449966961236208e-07,61.65956522239497
2020-02-20,1.2928383147334684e-05,1.24302844656998e-05,4.980986816348844e-07,6.956170932258736e-07,52.37553762900242
2020-02-21,1.2790228021493144e-05,1.2400661529674975e-05,3.8956649181816875e-07,6.344069729443327e-07,49.334353088030454
2020-02-22,1.2687611589099877e-05,1.2380110394953636e-05,3.07501194146241e-07,5.690258171847144e-07,46.2538868434757
2020-02-23,1.2570267864477649e-05,1.2346389430813026e-05,2.238784336646224e-07,4.99996340480696e-07,27.125507592676072
2020-02-24,1.251786624296144e-05,1.2337742608132231e-05,1.8012363482920815e-07,4.3602179935039844e-07,27.062343079435067
2020-02-25,1.2413508305021402e-05,1.230083868503734e-05,1.126696199840615e-07,3.713513634771311e-07,30.13038958312329
2020-02-26,1.224771945989211e-05,1.2229360324047983e-05,1.8359135844127835e-08,3.0075291795053046e-07,24.87451940318624
2020-02-27,1.1995261387327047e-05,1.210916637324585e-05,-1.1390498591880338e-07,2.178213371766637e-07,21.804819327110124
2020-02-28,1.1783087138102312e-05,1.1998570995032548e-05,-2.1548385693023591e-07,1.3116029835528377e-07,22.24498411063972
2020-02-29,1.1588382347500887e-05,1.1888862476822215e-05,-3.0048012932132803e-07,4.483221281996142e-08,17.43445296237138
2020-03-01,1.1378528967227464e-05,1.1765564173037135e-05,-3.870352058096707e-07,-4.154127090596501e-08,18.61368765578645
2020-03-02,1.1200300306977342e-05,1.1651081099153025e-05,-4.5078079217568287e-07,-1.233891751599086e-07,20.80057666885409
2020-03-03,1.1137545383240614e-05,1.1587474595711217e-05,-4.4992921247060325e-07,-1.8869718262204753e-07,32.842084505903856
2020-03-04,1.1114756542809784e-05,1.1543174101246697e-05,-4.284175584369135e-07,-2.3664125778502075e-07,27.186880256031685
2020-03-05,1.1132068285041361e-05,1.1519774750585093e-05,-3.877064655437322e-07,-2.6685429933676306e-07,38.04011295378225
2020-03-06,1.1156748722007619e-05,1.1502938926491534e-05,-3.4619020448391564e-07,-2.827214803661936e-07,40.01998561518143
2020-03-07,1.1183963280119158e-05,1.1490398513398281e-05,-3.0643523327912314e-07,-2.874642309487795e-07,39.16936271808076
2020-03-08,1.1164222623806314e-05,1.1458194846782532e-05,-2.939722229762185e-07,-2.887658293542673e-07,38.33176329593694
2020-03-09,1.0970556576245327e-05,1.1343172511069745e-05,-3.726159348244172e-07,-3.0553585044829727e-07,24.571745017949794
2020-03-10,1.0822325142042072e-05,1.1244200640170073e-05,-4.2187549812800107e-07,-3.2880377998423807e-07,28.60133733567794
2020-03-11,1.070226791278632e-05,1.115514527066708e-05,-4.528773578807604e-07,-3.536184955635425e-07,33.03278111051753
2020-03-12,1.0592016090298772e-05,1.1068514588885614e-05,-4.764984985868412e-07,-3.781944961682023e-07,40.11034594570062
2020-03-13,1.0002451757803136e-05,1.0749354095566465e-05,-7.46902337763329e-07,-4.5193606448722767e-07,19.66711992806661
2020-03-14,9.668902695349979e-06,1.053343029973618e-05,-8.64527604386201e-07,-5.344543724670224e-07,31.703934410300192
2020-03-15,9.341932934742511e-06,1.0311961333192865e-05,-9.700283984503538e-07,-6.215691776636888e-07,31.71425865449463
2020-03-16,9.0938956760569e-06,1.0120682030977545e-05,-1.0267863549206455e-06,-7.026126131150802e-07,33.42401142866966
2020-03-17,8.811612419762371e-06,9.908709622026798e-06,-1.0970972022644274e-06,-7.815095309449496e-07,26.158987936664275
2020-03-18,8.600873555265927e-06,9.725976301916331e-06,-1.1251027466504045e-06,-8.502281740860406e-07,26.016523114496806
2020-03-19,8.4094394688339e-06,9.55046339017866e-06,-1.1410239213447598e-06,-9.083873235377845e-07,23.280740817699183
2020-03-20,8.357568823417125e-06,9.440968344508007e-06,-1.0833995210908823e-06,-9.433897630484041e-07,29.603052844215696
2020-03-21,8.316654336702866e-06,9.341016960453669e-06,-1.0243626237508027e-06,-9.595843351888838e-07,29.40803302118293
2020-03-22,8.286001914043246e-06,9.250379673710089e-06,-9.643777596668427e-07,-9.605430200844756e-07,30.71983951767527
2020-03-23,8.225813894036739e-06,9.149964867064967e-06,-9.241509730282277e-07,-9.532646106732261e-07,34.97797754260823
2020-03-24,8.234082620546016e-06,9.085490478122898e-06,-8.51407857576882e-07,-9.328932600539574e-07,37.61715406306499
2020-03-25,8.279442534667236e-06,9.044263188064456e-06,-7.648206533972205e-07,-8.992787387226101e-07,39.47793671441633
2020-03-26,8.291978924297888e-06,8.993645845783124e-06,-7.016669214852365e-07,-8.597563752751354e-07,38.87414936868181
2020-03-27,8.31903127901752e-06,8.954695726093672e-06,-6.356644470761508e-07,-8.149379896353385e-07,70.41767542896943
2020-03-28,8.28984464133927e-06,8.89355664520591e-06,-6.037120038666395e-07,-7.726927924815987e-07,54.27870758216262
2020-03-29,8.266977888037906e-06,8.837827319255872e-06,-5.708494312179652e-07,-7.323241202288721e-07,59.43302570102041
2020-03-30,8.201007544409853e-06,8.763778677418813e-06,-5.627711330089601e-07,-6.984135227848897e-07,51.651339126268475
2020-03-31,8.205869909775463e-06,8.724433065705295e-06,-5.18563155929832e-07,-6.624434494138783e-07,65.17197630759318
2020-04-01,8.211265227346995e-06,8.688618725578266e-06,-4.773534982312709e-07,-6.254254591773567e-07,63.16965407278367
2020-04-02,8.252829436597421e-06,8.673271604237266e-06,-4.204421676398449e-07,-5.844288008698544e-07,67.63568842357321
2020-04-03,8.308385029345433e-06,8.668876729068543e-06,-3.604916997231093e-07,-5.396413806405054e-07,60.3925795380337
2020-04-04,8.325889374284507e-06,8.650601658133793e-06,-3.2471228384928544e-07,-4.966555612822614e-07,55.94829916057482
2020-04-05,8.357850707178256e-06,8.641937686278985e-06,-2.8408697910072815e-07,-4.5414184484595476e-07,57.26619535326853
2020-04-06,8.375435903844989e-06,8.62936115288884e-06,-2.539252490438507e-07,-4.1409852568553397e-07,60.68039463391621
2020-04-07,8.485685182301873e-06,8.663634861105572e-06,-1.779496788036992e-07,-3.66868756309167e-07,63.826953490045554
2020-04-08,8.582565723235456e-06,8.697099589791837e-06,-1.1453386655638138e-07,-3.164017783586099e-07,60.812499161613495
2020-04-09,8.673650636301426e-06,8.732471298560165e-06,-5.882066225873888e-08,-2.648855551386357e-07,65.62806334484239
2020-04-10,8.757905205114351e-06,8.768681227080556e-06,-1.0776021966204673e-08,-2.1406364850414948e-07,64.81437779805053
2020-04-11,8.78130294236394e-06,8.779148580425453e-06,2.1543619384867702e-09,-1.7082004641562223e-07,65.5147464308254
2020-04-12,8.828598246642338e-06,8.802079975962347e-06,2.6518270679991353e-08,-1.3135238299649951e-07,67.65937770872776
2020-04-13,8.855321648162568e-06,8.816911115263199e-06,3.841053289936943e-08,-9.739979981732573e-08,73.60240049518592
2020-04-14,8.866694021220658e-06,8.825231926950382e-06,4.146209427027665e-08,-6.962742099980526e-08,66.24039776277885
2020-04-15,8.881376233302225e-06,8.835372406417084e-06,4.600382688514114e-08,-4.650117142281598e-08,66.62260750136998
2020-04-16,8.878985222822645e-06,8.837628870029519e-06,4.1356352793126284e-08,-2.8929666579627532e-08,59.490931006735366
2020-04-17,8.931092508063594e-06,8.865780996463541e-06,6.531151160005251e-08,-1.0081430943691524e-08,63.449709342481306
2020-04-18,8.958887337256477e-06,8.884001581749007e-06,7.488575550747016e-08,6.912006346540814e-09,65.97330407844576
2020-04-19,9.02538307798529e-06,8.92156514250788e-06,1.0381793547741076e-07,2.6293192172714807e-08,68.42864634600397
2020-04-20,9.065206127962994e-06,8.948429421051027e-06,1.1677670691196764e-07,4.438989512056538e-08,67.11904174049133
2020-04-21,9.054840867536064e-06,8.95208886654265e-06,1.0275200099341426e-07,5.6062316295135155e-08,47.68871918144589
2020-04-22,9.036014216290566e-06,8.950635441942477e-06,8.537877434808855e-08,6.192560790572583e-08,45.603156523661625
2020-04-23,9.05313423449682e-06,8.965202767326829e-06,8.793146716999141e-08,6.712677975857895e-08,49.389009486553384
2020-04-24,9.098451610645588e-06,8.993535686744383e-06,1.0491592390120483e-07,7.468460858710412e-08,52.64451163345828
2020-04-25,9.149236570541202e-06,9.025759254390508e-06,1.2347731615069399e-07,8.444315009982209e-08,62.00799017280564
2020-04-26,9.226734156114705e-06,9.07221937456669e-06,1.5451478154801518e-07,9.845747638946072e-08,62.79516730719327
2020-04-27,9.435597606195758e-06,9.184228797312975e-06,2.51368808882783e-07,1.2903974288812518e-07,75.93619038956405
2020-04-28,9.658400539889275e-06,9.310124195675244e-06,3.482763442140311e-07,1.728870631533064e-07,79.82905260647743
2020-04-29,9.80202981806988e-06,9.405077281037315e-06,3.969525370325649e-07,2.177001579291581e-07,73.0516979285404
2020-04-30,1.008726755591162e-05,9.571817861259825e-06,5.154496946517955e-07,2.772500652736856e-07,80.98185531449087
2020-05-01,1.024754824409477e-05,9.687171503322215e-06,5.603767407725538e-07,3.338754003734593e-07,70.429078909028
2020-05-02,1.0415903793870535e-05,9.809740971049255e-06,6.0616282282128e-07,3.8833288486302346e-07,73.30302359068007
2020-05-03,1.0588548648345112e-05,9.937767221190443e-06,6.507814271546685e-07,4.408225933213525e-07,72.83110421871473
2020-05-04,1.072245783394661e-05,1.0050448045898919e-05,6.720097880476914e-07,4.870600322666203e-07,73.26333639098942
2020-05-05,1.0815614345311077e-05,1.0145079683818677e-05,6.705346614924006e-07,5.237549581117764e-07,75.78316482617575
2020-05-06,1.0899152084839348e-05,1.0234970792590986e-05,6.641812922483617e-07,5.518402249390935e-07,77.05332178363491
2020-05-07,1.098609187169961e-05,1.032602930420877e-05,6.600625674908413e-07,5.734846934494431e-07,76.48067743209324
2020-05-08,1.1174424370447784e-05,1.0465601438234989e-05,7.088229322127955e-07,6.005523412021136e-07,79.08856707486332
2020-05-09,1.128546199157058e-05,1.0571569398939503e-05,7.138925926310771e-07,6.232203914879064e-07,73.9404989126368
2020-05-10,1.135795456596089e-05,1.0659354163840843e-05,6.986004021200457e-07,6.382963936143343e-07,70.75167664310516
2020-05-11,1.1315160715174294e-05,1.0690497895100634e-05,6.246628200736592e-07,6.355696789061993e-07,55.14566859370684
2020-05-12,1.1266809816688873e-05,1.0713489152872369e-05,5.533206638165037e-07,6.191198758882602e-07,51.27418005436275
2020-05-13,1.1261092824886398e-05,1.0751723243027954e-05,5.093695818584436e-07,5.971698170822968e-07,57.03722350715103
2020-05-14,1.1317914902681659e-05,1.0816813101363335e-05,5.011018013183237e-07,5.779562139295023e-07,49.668519521952916
2020-05-15,1.1405156549818963e-05,1.0895936990823394e-05,5.092195589955688e-07,5.642088829427156e-07,60.51347316201207
2020-05-16,1.1384027810841115e-05,1.0923483861611509e-05,4.605439492296062e-07,5.434758962000937e-07,49.0743385124798
2020-05-17,1.1395850087486598e-05,1.096329043549486e-05,4.3255965199173853e-07,5.212926473584227e-07,49.033772687899265
2020-05-18,1.1437164625383386e-05,1.101522407611122e-05,4.219405492721667e-07,5.014222277411715e-07,52.492867189212696
2020-05-19,1.1461473558382938e-05,1.1058183232686719e-05,4.032903256962191e-07,4.817958473321811e-07,53.29164814913133
2020-05-20,1.1483335150628853e-05,1.1098582541967804e-05,3.847526086610492e-07,4.623871995979547e-07,53.03437495896768
2020-05-21,1.1463689111147324e-05,1.1117623531007145e-05,3.4606558014017975e-07,4.3912287570639973e-07,48.7002787672029
2020-05-22,1.1394810658691033e-05,1.111009431909413e-05,2.847163395969025e-07,4.082415684845003e-07,34.17105735628084
2020-05-23,1.1409310186854977e-05,1.1138165672624688e-05,2.7114451423028893e-07,3.808221576336581e-07,44.822352986089136
2020-05-24,1.1429344313313682e-05,1.1167896512344086e-05,2.6144780096959556e-07,3.569472863008456e-07,47.17453074497633
2020-05-25,1.1371582650197099e-05,1.1159451844989405e-05,2.121308052076932e-07,3.279839900822151e-07,49.64530505644591
2020-05-26,1.13756010766443e-05,1.1177100035886777e-05,1.9850104075752385e-07,3.020874002172769e-07,55.06659865137441
