date,tweet_count,weekday_name,weekday_num
2014-05-16,37,Friday,4
2014-05-17,3603,Saturday,5
2014-05-18,2283,Sunday,6
2014-05-19,2422,Monday,0
2014-05-20,2884,Tuesday,1
2014-05-21,2682,Wednesday,2
2014-05-22,2571,Thursday,3
2014-05-23,2451,Friday,4
2014-05-24,1921,Saturday,5
2014-05-25,1514,Sunday,6
2014-05-26,1536,Monday,0
2014-05-27,3031,Tuesday,1
2014-05-28,2199,Wednesday,2
2014-05-29,2079,Thursday,3
2014-05-30,1904,Friday,4
2014-05-31,1417,Saturday,5
2014-07-01,1862,Tuesday,1
2014-07-02,438,Wednesday,2
2014-07-03,1399,Thursday,3
2014-07-04,1178,Friday,4
2014-07-05,918,Saturday,5
2014-07-06,854,Sunday,6
2014-07-07,1849,Monday,0
2014-07-08,1678,Tuesday,1
2014-07-09,1739,Wednesday,2
2014-07-10,1459,Thursday,3
2014-07-11,1513,Friday,4
2014-07-12,939,Saturday,5
2014-07-13,752,Sunday,6
2014-07-14,1548,Monday,0
2014-07-15,1774,Tuesday,1
2014-07-16,1613,Wednesday,2
2014-07-17,1550,Thursday,3
2014-07-18,1482,Friday,4
2014-07-19,883,Saturday,5
2014-07-20,881,Sunday,6
2014-07-21,1442,Monday,0
2014-07-22,1104,Tuesday,1
2014-07-23,1570,Wednesday,2
2014-07-24,1530,Thursday,3
2014-07-25,1712,Friday,4
2014-07-26,835,Saturday,5
2014-07-27,583,Sunday,6
2014-07-28,1444,Monday,0
2014-07-29,1124,Tuesday,1
2014-07-30,1498,Wednesday,2
2014-07-31,1309,Thursday,3
2014-08-01,1144,Friday,4
2014-08-02,768,Saturday,5
2014-08-03,897,Sunday,6
2014-08-04,1565,Monday,0
2014-08-05,1367,Tuesday,1
2014-08-06,1454,Wednesday,2
2014-08-07,1477,Thursday,3
2014-08-08,1406,Friday,4
2014-08-09,789,Saturday,5
2014-08-10,834,Sunday,6
2014-08-11,1497,Monday,0
2014-08-12,1497,Tuesday,1
2014-08-13,1508,Wednesday,2
2014-08-14,1816,Thursday,3
2014-08-15,1556,Friday,4
2014-08-16,807,Saturday,5
2014-08-17,690,Sunday,6
2014-08-18,1415,Monday,0
2014-08-19,1693,Tuesday,1
2014-08-20,1688,Wednesday,2
2014-08-21,1630,Thursday,3
2014-08-22,1591,Friday,4
2014-08-23,721,Saturday,5
2014-08-24,848,Sunday,6
2014-08-25,1623,Monday,0
2014-08-26,1782,Tuesday,1
2014-08-27,724,Wednesday,2
2014-08-28,646,Thursday,3
2014-08-29,497,Friday,4
2014-08-30,464,Saturday,5
2014-08-31,588,Sunday,6
2014-09-01,623,Monday,0
2014-09-02,499,Tuesday,1
2014-09-03,1028,Wednesday,2
2014-09-04,2141,Thursday,3
2014-09-05,1838,Friday,4
2014-09-06,1219,Saturday,5
2014-09-07,912,Sunday,6
2014-09-08,1597,Monday,0
2014-09-09,1690,Tuesday,1
2014-09-10,1686,Wednesday,2
2014-09-11,1864,Thursday,3
2014-09-12,1787,Friday,4
2014-09-13,1106,Saturday,5
2014-09-14,1484,Sunday,6
2014-09-15,1849,Monday,0
2014-09-16,1645,Tuesday,1
2014-09-17,1796,Wednesday,2
2014-09-18,1934,Thursday,3
2014-09-19,1686,Friday,4
2014-09-20,927,Saturday,5
2014-09-21,908,Sunday,6
2014-09-22,1662,Monday,0
2014-09-23,1789,Tuesday,1
2014-09-24,251,Wednesday,2
2014-09-25,1858,Thursday,3
2014-09-26,2149,Friday,4
2014-09-27,1001,Saturday,5
2014-09-28,1016,Sunday,6
2014-09-29,1589,Monday,0
2014-09-30,1661,Tuesday,1
2014-10-01,1578,Wednesday,2
2014-10-02,1561,Thursday,3
2014-10-03,1487,Friday,4
2014-10-04,813,Saturday,5
2014-10-05,859,Sunday,6
2014-10-06,1924,Monday,0
2014-10-07,1532,Tuesday,1
2014-10-08,1590,Wednesday,2
2014-10-09,1587,Thursday,3
2014-10-10,1519,Friday,4
2014-10-11,793,Saturday,5
2014-10-12,871,Sunday,6
2014-10-13,1598,Monday,0
2014-10-14,1627,Tuesday,1
2014-10-15,2272,Wednesday,2
2014-10-16,1944,Thursday,3
2014-10-17,1674,Friday,4
2014-10-18,925,Saturday,5
2014-10-19,1077,Sunday,6
2014-10-20,1612,Monday,0
2014-10-21,1745,Tuesday,1
2014-10-22,2255,Wednesday,2
2014-10-23,1759,Thursday,3
2014-10-24,1450,Friday,4
2014-10-25,769,Saturday,5
2014-10-26,856,Sunday,6
2014-10-27,172,Monday,0
2014-10-28,1773,Tuesday,1
2014-10-29,1959,Wednesday,2
2014-10-30,1769,Thursday,3
2014-10-31,1257,Friday,4
2015-11-01,731,Sunday,6
2015-11-02,326,Monday,0
2015-11-03,20,Tuesday,1
2015-11-04,119,Wednesday,2
2015-11-06,1584,Friday,4
2015-11-07,436,Saturday,5
2015-11-08,120,Sunday,6
2015-11-09,1627,Monday,0
2015-11-10,1489,Tuesday,1
2015-11-11,1014,Wednesday,2
2015-11-12,1259,Thursday,3
2015-11-13,1198,Friday,4
2015-11-14,563,Saturday,5
2015-11-15,480,Sunday,6
2015-11-16,1019,Monday,0
2015-11-17,1002,Tuesday,1
2015-11-18,1265,Wednesday,2
2015-11-19,1312,Thursday,3
2015-11-20,952,Friday,4
2015-11-21,434,Saturday,5
2015-11-22,414,Sunday,6
2015-11-23,998,Monday,0
2015-11-24,1431,Tuesday,1
2015-11-25,1316,Wednesday,2
2015-11-26,610,Thursday,3
2015-11-27,578,Friday,4
2015-11-28,475,Saturday,5
2015-11-29,470,Sunday,6
2015-11-30,1350,Monday,0
2015-12-01,517,Tuesday,1
2015-12-02,59,Wednesday,2
2015-12-04,47,Friday,4
2015-12-05,409,Saturday,5
2015-12-06,403,Sunday,6
2015-12-07,1262,Monday,0
2015-12-08,1045,Tuesday,1
2015-12-09,1661,Wednesday,2
2015-12-10,1524,Thursday,3
2015-12-11,844,Friday,4
2015-12-12,673,Saturday,5
2015-12-13,763,Sunday,6
2015-12-14,1282,Monday,0
2015-12-15,1590,Tuesday,1
2015-12-16,1664,Wednesday,2
2015-12-17,1143,Thursday,3
2015-12-18,1740,Friday,4
2015-12-19,851,Saturday,5
2015-12-20,785,Sunday,6
2015-12-21,1805,Monday,0
2015-12-22,1617,Tuesday,1
2015-12-23,1068,Wednesday,2
2015-12-24,897,Thursday,3
2015-12-25,717,Friday,4
2015-12-26,660,Saturday,5
2015-12-27,703,Sunday,6
2015-12-28,1560,Monday,0
2015-12-29,1193,Tuesday,1
2015-12-30,1492,Wednesday,2
2015-12-31,1355,Thursday,3
2016-01-01,688,Friday,4
2016-01-02,675,Saturday,5
2016-01-03,717,Sunday,6
2016-01-04,1056,Monday,0
2016-01-05,1548,Tuesday,1
2016-01-06,1482,Wednesday,2
2016-01-07,898,Thursday,3
2016-01-08,457,Friday,4
2016-01-09,332,Saturday,5
2016-01-10,288,Sunday,6
2016-01-11,383,Monday,0
2016-01-12,518,Tuesday,1
2016-01-13,450,Wednesday,2
2016-01-14,347,Thursday,3
2016-01-15,1337,Friday,4
2016-01-16,529,Saturday,5
2016-01-17,372,Sunday,6
2016-01-18,1325,Monday,0
2016-01-19,693,Tuesday,1
2016-01-20,1391,Wednesday,2
2016-01-21,1513,Thursday,3
2016-01-22,1047,Friday,4
2016-01-23,565,Saturday,5
2016-01-24,543,Sunday,6
2016-01-25,906,Monday,0
2016-01-26,1621,Tuesday,1
2016-01-27,1637,Wednesday,2
2016-01-28,962,Thursday,3
2016-01-29,1535,Friday,4
2016-01-30,590,Saturday,5
2016-01-31,602,Sunday,6
2016-02-01,1426,Monday,0
2016-02-02,1593,Tuesday,1
2016-02-03,846,Wednesday,2
2016-02-04,1342,Thursday,3
2016-02-05,1124,Friday,4
2016-02-06,504,Saturday,5
2016-02-07,497,Sunday,6
2016-02-08,776,Monday,0
2016-02-09,711,Tuesday,1
2016-02-10,1228,Wednesday,2
2016-02-11,951,Thursday,3
2016-02-12,448,Friday,4
2016-02-13,411,Saturday,5
2016-02-14,487,Sunday,6
2016-02-15,533,Monday,0
2016-02-16,1326,Tuesday,1
2016-02-17,866,Wednesday,2
2016-02-18,528,Thursday,3
2016-02-19,1126,Friday,4
2016-02-20,421,Saturday,5
2016-02-21,399,Sunday,6
2016-02-22,1048,Monday,0
2016-02-23,1105,Tuesday,1
2016-02-24,1013,Wednesday,2
2016-02-25,1219,Thursday,3
2016-02-26,1231,Friday,4
2016-02-27,390,Saturday,5
2016-02-28,435,Sunday,6
2016-02-29,1323,Monday,0
2016-03-01,526,Tuesday,1
2016-03-02,1046,Wednesday,2
2016-03-03,1111,Thursday,3
2016-03-04,996,Friday,4
2016-03-05,415,Saturday,5
2016-03-06,366,Sunday,6
2016-03-07,1114,Monday,0
2016-03-08,1073,Tuesday,1
2016-03-09,880,Wednesday,2
2016-03-10,1191,Thursday,3
2016-03-11,1132,Friday,4
2016-03-12,410,Saturday,5
2016-03-13,436,Sunday,6
2016-03-14,732,Monday,0
2016-03-15,696,Tuesday,1
2016-03-16,681,Wednesday,2
2016-03-17,714,Thursday,3
2016-03-18,678,Friday,4
2016-03-19,290,Saturday,5
2016-03-20,291,Sunday,6
2016-03-21,679,Monday,0
2016-03-22,734,Tuesday,1
2016-03-23,665,Wednesday,2
2016-03-24,656,Thursday,3
2016-03-25,626,Friday,4
2016-03-26,256,Saturday,5
2016-03-27,296,Sunday,6
2016-03-28,1016,Monday,0
2016-03-29,1200,Tuesday,1
2016-03-30,1103,Wednesday,2
2016-03-31,1006,Thursday,3
2016-04-01,946,Friday,4
2016-04-02,346,Saturday,5
2016-04-03,383,Sunday,6
2016-04-04,902,Monday,0
2016-04-05,1211,Tuesday,1
2016-04-06,1111,Wednesday,2
2016-04-07,974,Thursday,3
2016-04-08,1125,Friday,4
2016-04-09,335,Saturday,5
2016-04-10,431,Sunday,6
2016-04-11,1089,Monday,0
2016-04-12,1121,Tuesday,1
2016-04-13,1008,Wednesday,2
2016-04-14,1168,Thursday,3
2016-04-15,710,Friday,4
2016-04-16,166,Saturday,5
2016-04-17,197,Sunday,6
2016-04-18,194,Monday,0
2016-04-19,223,Tuesday,1
2016-04-20,212,Wednesday,2
2016-04-21,217,Thursday,3
2016-04-22,222,Friday,4
2016-04-23,208,Saturday,5
2016-04-24,204,Sunday,6
2016-04-25,177,Monday,0
2016-04-26,204,Tuesday,1
2016-04-27,200,Wednesday,2
2016-04-28,176,Thursday,3
2016-04-29,214,Friday,4
2016-04-30,173,Saturday,5
2016-05-01,181,Sunday,6
2016-05-02,195,Monday,0
2016-05-03,186,Tuesday,1
2016-05-04,190,Wednesday,2
2016-05-05,208,Thursday,3
2016-05-06,225,Friday,4
2016-05-07,229,Saturday,5
2016-05-08,187,Sunday,6
2016-05-09,204,Monday,0
2016-05-10,183,Tuesday,1
2016-05-11,195,Wednesday,2
2016-05-12,218,Thursday,3
2016-05-13,228,Friday,4
2016-05-14,219,Saturday,5
2016-05-15,202,Sunday,6
2016-05-16,217,Monday,0
2016-05-17,215,Tuesday,1
2016-05-18,199,Wednesday,2
2016-05-19,206,Thursday,3
2016-05-20,206,Friday,4
2016-05-21,204,Saturday,5
2016-05-22,190,Sunday,6
2016-05-23,168,Monday,0
2016-05-24,175,Tuesday,1
2016-05-25,188,Wednesday,2
2016-05-26,187,Thursday,3
2016-05-27,241,Friday,4
2016-05-28,194,Saturday,5
2016-05-29,178,Sunday,6
2016-05-30,205,Monday,0
2016-05-31,180,Tuesday,1
2016-06-01,199,Wednesday,2
2016-06-02,178,Thursday,3
2016-06-03,183,Friday,4
2016-06-04,180,Saturday,5
2016-06-05,196,Sunday,6
2016-06-06,191,Monday,0
2016-06-07,184,Tuesday,1
2016-06-08,183,Wednesday,2
2016-06-09,204,Thursday,3
2016-06-10,203,Friday,4
2016-06-11,185,Saturday,5
2016-06-12,197,Sunday,6
2016-06-13,185,Monday,0
2016-06-14,192,Tuesday,1
2016-06-15,179,Wednesday,2
2016-06-16,186,Thursday,3
2016-06-17,181,Friday,4
2016-06-18,234,Saturday,5
2016-06-19,211,Sunday,6
2016-06-20,176,Monday,0
2016-06-21,196,Tuesday,1
2016-06-22,186,Wednesday,2
2016-06-23,183,Thursday,3
2016-06-24,206,Friday,4
2016-06-25,173,Saturday,5
2016-06-26,163,Sunday,6
2016-06-27,157,Monday,0
2016-06-28,200,Tuesday,1
2016-06-29,183,Wednesday,2
2016-06-30,175,Thursday,3
2016-07-01,199,Friday,4
2016-07-02,185,Saturday,5
2016-07-03,180,Sunday,6
2016-07-04,174,Monday,0
2016-07-05,162,Tuesday,1
2016-07-06,174,Wednesday,2
2016-07-07,184,Thursday,3
2016-07-08,160,Friday,4
2016-07-09,200,Saturday,5
2016-07-10,212,Sunday,6
2016-07-11,191,Monday,0
2016-07-12,205,Tuesday,1
2016-07-13,184,Wednesday,2
2016-07-14,183,Thursday,3
2016-07-15,190,Friday,4
2016-07-16,181,Saturday,5
2016-07-17,206,Sunday,6
2016-07-18,193,Monday,0
2016-07-19,169,Tuesday,1
2016-07-20,210,Wednesday,2
2016-07-21,274,Thursday,3
2016-07-22,194,Friday,4
2016-07-23,177,Saturday,5
2016-07-24,194,Sunday,6
2016-07-25,181,Monday,0
2016-07-26,182,Tuesday,1
2016-07-27,188,Wednesday,2
2016-07-28,189,Thursday,3
2016-07-29,192,Friday,4
2016-07-30,185,Saturday,5
2016-07-31,199,Sunday,6
2016-08-01,179,Monday,0
2016-08-02,177,Tuesday,1
2016-08-03,190,Wednesday,2
2016-08-04,181,Thursday,3
2016-08-05,200,Friday,4
2016-08-06,175,Saturday,5
2016-08-07,212,Sunday,6
2016-08-08,182,Monday,0
2016-08-09,225,Tuesday,1
2016-08-10,181,Wednesday,2
2016-08-11,201,Thursday,3
2016-08-12,181,Friday,4
2016-08-13,169,Saturday,5
2016-08-14,196,Sunday,6
2016-08-15,177,Monday,0
2016-08-16,197,Tuesday,1
2016-08-17,199,Wednesday,2
2016-08-18,192,Thursday,3
2016-08-19,177,Friday,4
2016-08-20,148,Saturday,5
2016-08-21,125,Sunday,6
2016-08-22,143,Monday,0
2016-08-23,176,Tuesday,1
2016-08-24,196,Wednesday,2
2016-08-25,244,Thursday,3
2016-08-26,227,Friday,4
2016-08-27,236,Saturday,5
2016-08-28,242,Sunday,6
2016-08-29,223,Monday,0
2016-08-30,195,Tuesday,1
2016-08-31,185,Wednesday,2
2017-11-01,252,Wednesday,2
2017-11-02,223,Thursday,3
2017-11-03,304,Friday,4
2017-11-04,253,Saturday,5
2017-11-05,215,Sunday,6
2017-11-06,226,Monday,0
2017-11-07,226,Tuesday,1
2017-11-08,230,Wednesday,2
2017-11-09,88,Thursday,3
2017-11-10,272,Friday,4
2017-11-11,305,Saturday,5
2017-11-12,267,Sunday,6
2017-11-13,248,Monday,0
2017-11-14,238,Tuesday,1
2017-11-15,256,Wednesday,2
2017-11-16,299,Thursday,3
2017-11-17,295,Friday,4
2017-11-18,267,Saturday,5
2017-11-19,266,Sunday,6
2017-11-20,349,Monday,0
2017-11-21,315,Tuesday,1
2017-11-22,641,Wednesday,2
2017-11-23,862,Thursday,3
2017-11-24,412,Friday,4
2017-11-25,310,Saturday,5
2017-11-26,304,Sunday,6
2017-11-27,371,Monday,0
2017-11-28,434,Tuesday,1
2017-11-29,481,Wednesday,2
2017-11-30,435,Thursday,3
2017-12-01,670,Friday,4
2017-12-02,732,Saturday,5
2017-12-03,586,Sunday,6
2017-12-04,950,Monday,0
2017-12-05,747,Tuesday,1
2017-12-06,733,Wednesday,2
2017-12-07,725,Thursday,3
2017-12-08,852,Friday,4
2017-12-09,659,Saturday,5
2017-12-10,916,Sunday,6
2017-12-11,791,Monday,0
2017-12-12,796,Tuesday,1
2017-12-13,799,Wednesday,2
2017-12-14,653,Thursday,3
2017-12-15,683,Friday,4
2017-12-16,989,Saturday,5
2017-12-17,915,Sunday,6
2017-12-18,922,Monday,0
2017-12-19,910,Tuesday,1
2017-12-20,1090,Wednesday,2
2017-12-21,1115,Thursday,3
2017-12-22,852,Friday,4
2017-12-23,529,Saturday,5
2017-12-24,1052,Sunday,6
2017-12-25,364,Monday,0
2017-12-26,1025,Tuesday,1
2017-12-27,1135,Wednesday,2
2017-12-28,854,Thursday,3
2017-12-29,747,Friday,4
2017-12-30,547,Saturday,5
2017-12-31,891,Sunday,6
2018-01-01,756,Monday,0
2018-01-02,814,Tuesday,1
2018-01-03,405,Wednesday,2
2018-01-04,198,Thursday,3
2018-01-05,566,Friday,4
2018-01-06,50,Saturday,5
2018-01-07,1565,Sunday,6
2018-01-08,637,Monday,0
2018-01-09,774,Tuesday,1
2018-01-10,1112,Wednesday,2
2018-01-11,1102,Thursday,3
2018-01-12,1115,Friday,4
2018-01-13,867,Saturday,5
2018-01-14,164,Sunday,6
2018-01-15,19,Monday,0
2018-01-16,486,Tuesday,1
2018-01-17,827,Wednesday,2
2018-01-18,867,Thursday,3
2018-01-19,792,Friday,4
2018-01-20,721,Saturday,5
2018-01-21,729,Sunday,6
2018-01-22,881,Monday,0
2018-01-23,852,Tuesday,1
2018-01-24,993,Wednesday,2
2018-01-25,1069,Thursday,3
2018-01-26,1033,Friday,4
2018-01-27,922,Saturday,5
2018-01-28,898,Sunday,6
2018-01-29,926,Monday,0
2018-01-30,260,Tuesday,1
2018-01-31,894,Wednesday,2
2018-02-01,1055,Thursday,3
2018-02-02,929,Friday,4
2018-02-03,942,Saturday,5
2018-02-04,914,Sunday,6
2018-02-05,892,Monday,0
2018-02-06,878,Tuesday,1
2018-02-07,952,Wednesday,2
2018-02-08,777,Thursday,3
2018-02-09,822,Friday,4
2018-02-10,743,Saturday,5
2018-02-11,816,Sunday,6
2018-02-12,818,Monday,0
2018-02-13,851,Tuesday,1
2018-02-14,1075,Wednesday,2
2018-02-15,919,Thursday,3
2018-02-16,929,Friday,4
2018-02-17,850,Saturday,5
2018-02-18,1185,Sunday,6
2018-02-19,987,Monday,0
2018-02-20,995,Tuesday,1
2018-02-21,1016,Wednesday,2
2018-02-22,875,Thursday,3
2018-02-23,749,Friday,4
2018-02-24,719,Saturday,5
2018-02-25,679,Sunday,6
2018-02-26,649,Monday,0
2018-02-27,687,Tuesday,1
2018-02-28,647,Wednesday,2
2018-03-01,716,Thursday,3
2018-03-02,553,Friday,4
2018-03-03,626,Saturday,5
2018-03-04,539,Sunday,6
2018-03-05,601,Monday,0
2018-03-06,688,Tuesday,1
2018-03-07,551,Wednesday,2
2018-03-08,587,Thursday,3
2018-03-09,555,Friday,4
2018-03-10,440,Saturday,5
2018-03-11,510,Sunday,6
2018-03-12,597,Monday,0
2018-03-13,563,Tuesday,1
2018-03-14,545,Wednesday,2
2018-03-15,570,Thursday,3
2018-03-16,607,Friday,4
2018-03-17,528,Saturday,5
2018-03-18,549,Sunday,6
2018-03-19,592,Monday,0
2018-03-20,615,Tuesday,1
2018-03-21,596,Wednesday,2
2018-03-22,546,Thursday,3
2018-03-23,531,Friday,4
2018-03-24,529,Saturday,5
2018-03-25,575,Sunday,6
2018-03-26,589,Monday,0
2018-03-27,552,Tuesday,1
2018-03-28,567,Wednesday,2
2018-03-29,536,Thursday,3
2018-03-30,558,Friday,4
2018-03-31,474,Saturday,5
2018-04-01,552,Sunday,6
2018-04-02,556,Monday,0
2018-04-03,539,Tuesday,1
2018-04-04,547,Wednesday,2
2018-04-05,683,Thursday,3
2018-04-06,536,Friday,4
2018-04-07,533,Saturday,5
2018-04-08,621,Sunday,6
2018-04-09,496,Monday,0
2018-04-10,670,Tuesday,1
2018-04-11,686,Wednesday,2
2018-04-12,567,Thursday,3
2018-04-13,392,Friday,4
2018-04-14,314,Saturday,5
2018-04-15,462,Sunday,6
2018-04-16,531,Monday,0
2018-04-17,461,Tuesday,1
2018-04-18,590,Wednesday,2
2018-04-19,612,Thursday,3
2018-04-20,594,Friday,4
2018-04-21,603,Saturday,5
2018-04-22,556,Sunday,6
2018-04-23,608,Monday,0
2018-04-24,582,Tuesday,1
2018-04-25,538,Wednesday,2
2018-04-26,526,Thursday,3
2018-04-27,496,Friday,4
2018-04-28,470,Saturday,5
2018-04-29,462,Sunday,6
2018-04-30,438,Monday,0
2018-05-01,535,Tuesday,1
2018-05-02,556,Wednesday,2
2018-05-03,473,Thursday,3
2018-05-04,457,Friday,4
2018-05-05,485,Saturday,5
2018-05-06,501,Sunday,6
2018-05-07,490,Monday,0
2018-05-08,595,Tuesday,1
2018-05-09,551,Wednesday,2
2018-05-10,478,Thursday,3
2018-05-11,493,Friday,4
2018-05-12,439,Saturday,5
2018-05-13,401,Sunday,6
2018-05-14,383,Monday,0
2018-05-15,417,Tuesday,1
2018-05-16,370,Wednesday,2
2018-05-17,362,Thursday,3
2018-05-18,363,Friday,4
2018-05-19,399,Saturday,5
2018-05-20,385,Sunday,6
2018-05-21,448,Monday,0
2018-05-22,433,Tuesday,1
2018-05-23,406,Wednesday,2
2018-05-24,435,Thursday,3
2018-05-25,419,Friday,4
2018-05-26,352,Saturday,5
2018-05-27,327,Sunday,6
2018-05-28,360,Monday,0
2018-05-29,376,Tuesday,1
2018-05-30,362,Wednesday,2
2018-05-31,400,Thursday,3
2018-06-01,327,Friday,4
2018-06-02,326,Saturday,5
2018-06-03,349,Sunday,6
2018-06-04,401,Monday,0
2018-06-05,466,Tuesday,1
2018-06-06,407,Wednesday,2
2018-06-07,400,Thursday,3
2018-06-08,351,Friday,4
2018-06-09,321,Saturday,5
2018-06-10,328,Sunday,6
2018-06-11,364,Monday,0
2018-06-12,141,Tuesday,1
2018-06-13,406,Wednesday,2
2018-06-14,379,Thursday,3
2018-06-15,357,Friday,4
2018-06-16,341,Saturday,5
2018-06-17,392,Sunday,6
2018-06-18,394,Monday,0
2018-06-19,475,Tuesday,1
2018-06-20,375,Wednesday,2
2018-06-21,356,Thursday,3
2018-06-22,378,Friday,4
2018-06-23,345,Saturday,5
2018-06-24,326,Sunday,6
2018-06-25,338,Monday,0
2018-06-26,381,Tuesday,1
2018-06-27,425,Wednesday,2
2018-06-28,374,Thursday,3
2018-06-29,401,Friday,4
2018-06-30,336,Saturday,5
2018-07-01,382,Sunday,6
2018-07-02,363,Monday,0
2018-07-03,456,Tuesday,1
2018-07-04,369,Wednesday,2
2018-07-05,369,Thursday,3
2018-07-06,413,Friday,4
2018-07-07,396,Saturday,5
2018-07-08,403,Sunday,6
2018-07-09,347,Monday,0
2018-07-10,379,Tuesday,1
2018-07-11,357,Wednesday,2
2018-07-12,336,Thursday,3
2018-07-13,349,Friday,4
2018-07-14,334,Saturday,5
2018-07-15,320,Sunday,6
2018-07-16,649,Monday,0
2018-07-17,919,Tuesday,1
2018-07-18,800,Wednesday,2
2018-07-19,633,Thursday,3
2018-07-20,479,Friday,4
2018-07-21,472,Saturday,5
